source_position,local_index,transaction_num,predicted_value,actual_value,rank,feature,feature_value,shap_value,abs_shap_value,running_value_before,running_value_after
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,3,project,23594.0150604873,293049.8378817069,293049.8378817069,1674280.8376696224,1967330.6755513293
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,4,area,24528.607625646207,60797.31987685319,60797.31987685319,1967330.6755513293,2028127.9954281824
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,5,master_project,23765.859744648016,50002.634134546766,50002.634134546766,2028127.9954281824,2078130.6295627293
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,6,nearest_metro,25100.51035028975,45594.9748593442,45594.9748593442,2078130.6295627293,2123725.6044220733
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,7,nearest_landmark,23504.61376351314,36829.646298791944,36829.646298791944,2123725.6044220733,2160555.250720865
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,8,prop_type_Unit,1.0,-32489.16378791249,32489.16378791249,2160555.250720865,2128066.0869329525
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,9,is_offplan,0.0,-29476.68178749778,29476.68178749778,2128066.0869329525,2098589.4051454547
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,10,prop_sb_type,19668.34633540245,-27932.80217446909,27932.80217446909,2098589.4051454547,2070656.6029709857
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,11,procedure_Sell,0.0,21606.9642750358,21606.9642750358,2070656.6029709857,2092263.5672460215
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,12,procedure_Sell___Pre_registration,0.0,-18052.922983647597,18052.922983647597,2092263.5672460215,2074210.644262374
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,13,date_year,2025.0,13724.811836641446,13724.811836641446,2074210.644262374,2087935.4560990154
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,14,nearest_mall,24505.45025444477,-11292.016401612382,11292.016401612382,2087935.4560990154,2076643.439697403
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,15,prop_type_Land,0.0,10420.634470381581,10420.634470381581,2076643.439697403,2087064.0741677845
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,16,rooms,2.0,-7311.398020423846,7311.398020423846,2087064.0741677845,2079752.6761473606
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,17,month_sin,-2.4492935982947064e-16,6839.251215194025,6839.251215194025,2079752.6761473606,2086591.9273625547
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,18,usage_Residential,1.0,-5546.312625648043,5546.312625648043,2086591.9273625547,2081045.6147369067
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,19,usage_Other,0.0,4854.378728542038,4854.378728542038,2081045.6147369067,2085899.9934654487
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,20,usage_Commercial,0.0,-4400.64577686516,4400.64577686516,2085899.9934654487,2081499.3476885837
471,471,23b78b468e7445fe3729605589b5fdd8221a853ef383ffe589568f6791f9c268,2080323.2137618603,2260000.0,21,has_parking,1.0,3787.8275601354576,3787.8275601354576,2081499.3476885837,2085287.175248719
